nama,kategori,harga,deskripsi,stok,satuan
Benih Padi IR64,Padi,45000,Benih padi IR64 kualitas premium tahan hama dan penyakit,200,kg
Benih Padi Ciherang,Padi,48000,Padi ciherang hasil tinggi cocok untuk sawah irigasi,180,kg
Benih Padi Hibrida Mapan,Padi,95000,Padi hibrida unggul hasil panen melimpah,120,kg
Benih Jagung Pioneer 21,Jagung,85000,Jagung hibrida hasil tinggi tahan kering,75,kg
Benih Jagung Manis Bonanza,Jagung,65000,Jagung manis super lezat untuk konsumsi segar,90,kg
Benih Jagung Pulut,Jagung,55000,Jagung pulut berkualitas untuk berbagai olahan,100,kg
Benih Cabai Rawit Super,Cabai,75000,Cabai rawit super pedas tahan hama,40,pack
Benih Cabai Keriting Hijau,Cabai,65000,Cabai keriting produktif tahan penyakit layu,50,pack
Benih Cabai Merah Besar,Cabai,70000,Cabai merah besar cocok untuk industri,45,pack
Benih Tomat Cherry,Sayuran,55000,Tomat cherry manis ukuran mini,60,pack
Benih Tomat Gondol,Sayuran,48000,Tomat gondol hasil tinggi tahan pecah,70,pack
Benih Sawi Hijau,Sayuran,25000,Sawi hijau cepat panen 30-35 hari,150,pack
Benih Kangkung Darat,Sayuran,22000,Kangkung darat tumbuh cepat dan subur,180,pack
Benih Bayam Merah,Sayuran,28000,Bayam merah kaya nutrisi dan antioksidan,140,pack
Benih Terong Ungu,Sayuran,42000,Terong ungu panjang hasil melimpah,85,pack
Benih Timun Hibrida,Sayuran,58000,Timun hibrida renyah dan produktif,95,pack
Benih Buncis Perancis,Sayuran,52000,Buncis perancis panjang dan lembut,75,pack
Benih Kacang Panjang,Sayuran,38000,Kacang panjang tahan hama hasil tinggi,110,pack
Benih Wortel Chantenay,Sayuran,62000,Wortel chantenay manis dan renyah,65,pack
Benih Bawang Merah Bima,Bawang,125000,Bawang merah bima brebes kualitas super,50,kg
Benih Bawang Putih Lumbu Hijau,Bawang,145000,Bawang putih lumbu hijau aroma kuat,40,kg
Benih Kedelai Grobogan,Kacang-kacangan,35000,Kedelai grobogan hasil tinggi protein tinggi,200,kg
Benih Kacang Tanah Kelinci,Kacang-kacangan,42000,Kacang tanah kelinci polong besar,150,kg
Benih Kacang Hijau Vima,Kacang-kacangan,38000,Kacang hijau vima cepat panen 55 hari,180,kg
Benih Melon Golden,Buah,95000,Melon golden manis daging tebal,35,pack
Benih Semangka Kuning,Buah,88000,Semangka kuning tanpa biji super manis,40,pack
Benih Strawberry Alpine,Buah,125000,Strawberry alpine tahan panas cocok tropis,25,pack
Benih Paprika Merah,Sayuran,98000,Paprika merah manis kaya vitamin C,30,pack
Benih Paprika Kuning,Sayuran,98000,Paprika kuning segar untuk salad,30,pack
Benih Selada Keriting,Sayuran,45000,Selada keriting segar untuk salad,80,pack
Benih Pak Choy,Sayuran,32000,Pak choy lembut cepat panen,120,pack
Benih Brokoli Hijau,Sayuran,78000,Brokoli hijau kaya nutrisi dan serat,55,pack
Benih Kembang Kol,Sayuran,72000,Kembang kol putih bersih berkualitas,60,pack
Benih Labu Siam,Sayuran,35000,Labu siam merambat produktif tinggi,90,pack
Benih Pare Hijau,Sayuran,42000,Pare hijau pahit khasiat tinggi,85,pack